GEOID,Location,POP,Total_Households,Median_HH_Income,Low_Income_HH,Low_Income_Rate,HH_SNAP,SNAP_Rate,HH_Public_Assistance,Public_Assistance_Rate,Children_0_17,Children_0_4,Children_5_17,Child_Dependency_Rate,Elderly_65_Plus,Elderly_65_74,Elderly_75_Plus,Elderly_Dependency_Rate,Total_Dependency_Rate,HH_With_Children,HH_With_Children_Rate,Single_Parent_HH,Single_Parent_Rate,Renter_Occupied,Renter_Rate,Vacant_Housing_Units,Vacancy_Rate,Built_Before_1940,Old_Housing_Rate,Total_Workers,Workers_No_Car,No_Car_Rate,HH_No_Internet,No_Internet_Rate
295101011001,"Block Group 1, Tract 101100, St. Louis City",1415,588,63125.0,38,0.06462585034013606,32,0.05442176870748299,0,0.0,299,123,176,0.21130742049469964,188,100,88,0.13286219081272085,0.3441696113074205,139,0.23639455782312926,24,0.04081632653061224,83,0.141156462585034,15,0.024875621890547265,107,0.17744610281923714,719,45,0.06258692628650904,34,0.05782312925170068
295101011002,"Block Group 2, Tract 101100, St. Louis City",839,468,42500.0,90,0.19230769230769232,97,0.20726495726495728,0,0.0,83,58,25,0.09892729439809297,179,98,81,0.2133492252681764,0.31227651966626935,80,0.17094017094017094,0,0.0,29,0.06196581196581197,23,0.04684317718940937,122,0.2484725050916497,426,0,0.0,69,0.14743589743589744
295101012001,"Block Group 1, Tract 101200, St. Louis City",1152,428,86719.0,21,0.04906542056074766,12,0.028037383177570093,0,0.0,205,43,162,0.1779513888888889,172,129,43,0.14930555555555555,0.3272569444444444,114,0.26635514018691586,8,0.018691588785046728,53,0.12383177570093458,32,0.06956521739130435,46,0.1,745,75,0.10067114093959731,16,0.037383177570093455
295101012002,"Block Group 2, Tract 101200, St. Louis City",1483,491,96050.0,58,0.11812627291242363,139,0.2830957230142566,0,0.0,495,276,219,0.3337828725556305,188,89,99,0.126770060687795,0.4605529332434255,147,0.29938900203665986,0,0.0,87,0.17718940936863545,47,0.08736059479553904,82,0.1524163568773234,589,19,0.03225806451612903,88,0.17922606924643583
295101012003,"Block Group 3, Tract 101200, St. Louis City",928,422,84844.0,17,0.04028436018957346,20,0.04739336492890995,8,0.018957345971563982,203,84,119,0.21875,112,66,46,0.1206896551724138,0.3394396551724138,80,0.1895734597156398,0,0.0,66,0.15639810426540285,56,0.11715481171548117,366,0.7656903765690377,587,58,0.09880749574105621,19,0.045023696682464455
295101013001,"Block Group 1, Tract 101300, St. Louis City",776,433,58560.0,27,0.06235565819861432,5,0.011547344110854504,0,0.0,29,0,29,0.037371134020618556,132,88,44,0.17010309278350516,0.20747422680412372,25,0.057736720554272515,0,0.0,201,0.46420323325635104,12,0.02696629213483146,363,0.8157303370786517,556,114,0.20503597122302158,14,0.03233256351039261
295101013002,"Block Group 2, Tract 101300, St. Louis City",510,361,54606.0,35,0.09695290858725762,0,0.0,0,0.0,58,17,41,0.11372549019607843,210,149,61,0.4117647058823529,0.5254901960784314,28,0.07756232686980609,0,0.0,140,0.3878116343490305,20,0.05249343832020997,217,0.5695538057742782,290,6,0.020689655172413793,22,0.060941828254847646
295101013003,"Block Group 3, Tract 101300, St. Louis City",1451,981,85469.0,169,0.17227319062181448,60,0.06116207951070336,17,0.017329255861365953,135,25,110,0.09303928325292901,275,198,77,0.18952446588559613,0.28256374913852517,71,0.07237512742099898,10,0.010193679918450561,603,0.6146788990825688,0,0.0,550,0.5606523955147809,974,79,0.0811088295687885,119,0.12130479102956167
295101013004,"Block Group 4, Tract 101300, St. Louis City",805,252,85125.0,36,0.14285714285714285,9,0.03571428571428571,0,0.0,279,56,223,0.34658385093167704,26,12,14,0.03229813664596273,0.37888198757763975,127,0.503968253968254,0,0.0,40,0.15873015873015872,54,0.17647058823529413,185,0.6045751633986928,341,50,0.1466275659824047,14,0.05555555555555555
295101014001,"Block Group 1, Tract 101400, St. Louis City",660,266,70667.0,55,0.20676691729323307,41,0.15413533834586465,0,0.0,127,30,97,0.19242424242424241,71,15,56,0.10757575757575757,0.3,92,0.3458646616541353,17,0.06390977443609022,106,0.39849624060150374,111,0.29442970822281167,276,0.7320954907161804,359,36,0.10027855153203342,21,0.07894736842105263
